instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Viola+sordina_piombo,médium,11,-35.1223,24.7617,-17.5296,11.0796,-11.4395,2.9712,-3.6364,-4.8824,2.9190,-5.2775,2.1708,-3.2250,-0.3919
Viola+sordina,aigu,51,-27.0788,25.9730,-23.0013,10.2062,-12.0113,2.0790,-3.5003,-4.2169,1.9880,-4.9826,3.6232,-3.6521,1.1139
English_Horn,aigu,28,-2.9336,27.8537,-38.2096,8.1919,-17.6873,1.3087,-2.7547,-3.4820,5.4974,-2.1349,8.3104,-1.6454,0.9916
Bass_Clarinet_Bb,suraigu,49,-7.8564,30.9759,-33.6140,5.1697,-15.9030,3.0955,-3.3165,-3.4551,4.2266,-3.3951,7.1592,-2.0213,2.5818
Sax_Alto,médium,33,-24.6342,25.7998,-28.4853,5.9892,-11.5250,2.7794,-4.7260,-4.6843,4.1371,-1.3353,6.8889,0.5181,5.3157
Oboe,grave,30,-14.9496,37.5852,-24.7769,4.9560,-12.2287,1.2042,-2.3743,-2.1782,0.7065,-6.9664,2.0833,-3.7136,0.8322
Trumpet_C,médium,24,-22.0128,31.6407,-24.1647,5.8845,-14.0293,-0.0919,-4.0601,-4.5759,0.3302,-6.9170,1.3507,-4.7502,-0.5600
Viola,aigu,120,-24.3912,28.7904,-24.8963,8.2697,-9.3191,3.1082,-4.2853,-4.3896,1.8725,-5.4947,2.8152,-3.0148,1.7640
Violin+sordina_piombo,grave,11,-30.7645,27.8236,-18.6475,10.0861,-10.5586,4.0968,-1.8867,-2.8420,2.7869,-5.2088,3.6246,-2.0498,0.4357
Marimba,aigu,26,-26.6984,33.1379,-18.2782,7.2943,-12.5589,1.7372,-1.3999,-1.5506,3.2051,-3.4795,4.4550,-1.8826,1.5234
Violin_Ensemble+sordina,aigu,12,-4.7265,26.0764,-30.9294,15.9078,-16.8194,2.4538,-5.8849,-5.6809,3.3398,-7.1736,4.4379,-5.4198,0.1185
Violoncello+sordina_piombo,suraigu,28,-18.8114,25.1462,-23.1156,16.1827,-12.2449,5.6461,-2.1615,-3.2602,3.3068,-5.1233,5.2025,-3.9009,3.0566
Trumpet_C+sordina_wah,aigu,10,-41.5330,25.0719,-20.7197,2.4579,-11.7184,0.8877,-1.1858,-2.0206,0.9369,-3.2946,3.3949,-3.2999,0.4729
Violoncello,suraigu,66,-18.3121,28.2385,-24.9649,11.8434,-11.4110,5.3006,-1.8984,-3.2561,2.9753,-4.7926,4.7326,-3.6248,1.4121
Oboe+sordina,médium,12,-18.2757,30.8322,-29.5230,3.2900,-13.2890,2.3449,-2.0446,-0.9992,3.1163,-4.5817,5.5271,-1.2041,3.9861
Trumpet_C,aigu,15,-22.7349,27.2456,-28.8625,4.2975,-15.1279,0.1124,-3.7138,-4.1403,0.8926,-6.6434,1.8676,-4.2196,1.0770
Oboe+sordina,aigu,7,-25.8116,24.2499,-30.3550,5.4431,-10.8099,3.6673,0.7868,2.5129,6.9195,1.1845,8.4788,-3.7818,-1.5778
